,Noun,Noun2,Noun3,Noun4,Noun5
0,require,cater,may,operate,contain
1,pertain,possess,fetch,modify,meet
2,span,aim,provide,desire,aim
3,understand,query,ensure,enjoy,enable
4,gain,help,improve,make,can
5,regard,validate,can,transfer,can
6,block,exist,can,create,shall
7,cater,would,maintain,would,can
8,modify,provide,prompt,can,view
9,pertain,can,view,report,facilitate
10,log,will,redirect,include,perform
11,can,perform,follow,look,allow
12,help,resolve,provide,can,modify
13,cater,provide,provide,follow,can
14,perform,will,have,pertain,can
15,modify,look,follow,shall,view
16,incorporate,maintain,look,shall,notify
17,follow,can,perform,shall,view
18,facilitate,update,need,store,store
19,could,may,require,could,need
20,use,provide,can,access,maintain
21,register,presuppose,login,use,initiate
22,maintain,register,presuppose,login,use
23,initiate,should,keep,should,divulge
24,sustain,will,will,would,remain
25,log,will,come,accord,maintain
26,maintain,can,display,allow,view
27,update,allow,view,allow,transfer
28,can,type,pay,will,shop
29,pay,will,provide,will,provide
30,buy,sell,will,may,happen
31,use,would,require,recur,would
32,allow,set,recur,need,pay
33,will,deduct,cancel,will,prefer
34,need,pay,â€™,will,pay
35,go,issue,can,order,will
36,deliver,allow,suspend,block,allow
37,create,can,prompt,decide,use
38,debit,credit,can,add,own
39,will,approve,will,view,save
40,will,provide,maintain,will,search
41,update,need,will,will,check
42,update,assume,possess,regard,provide
43,assume,can,block,wish,regard
44,give,read,modify,scale,should
45,dedicate,maintain,handle,modify,open
