,Verb,Verb2,Verb3,Verb4,Verb5
0,span,enjoy,cancel,make,can
1,accord,come,pay,own,add
2,remain,buy,pertain,prefer,order
3,facilitate,type,follow,recur,meet
4,keep,happen,resolve,debit,approve
5,notify,presuppose,exist,desire,fetch
6,scale,perform,query,understand,recommend
7,deliver,require,maintain,incorporate,shall
8,view,transfer,regard,login,wish
9,aim,register,create,need,have
10,improve,redirect,enable,use,access
11,update,issue,contain,sell,possess
12,ensure,sustain,cater,modify,validate
13,â€™,block,suspend,prompt,may
14,assume,initiate,operate,read,should
15,credit,display,deduct,go,include
16,shop,report,help,search,give
17,log,look,save,handle,would
18,check,dedicate,will,set,allow
19,store,could,decide,gain,provide
